year,driver_num,driver_id,circuit,lap,position,net_gain
2019,5,vettel,bahrain,10.0,2.0,26.930833333338313
2019,5,vettel,bahrain,11.0,2.0,29.633333333329574
2019,5,vettel,bahrain,12.0,2.0,-2.2774999999968486
2019,5,vettel,bahrain,13.0,2.0,-265.2930555555606
2019,5,vettel,bahrain,14.0,1.0,
2019,5,vettel,bahrain,15.0,4.0,190.18305555556006
2019,5,vettel,bahrain,16.0,3.0,34.25583333333822
2019,5,vettel,bahrain,17.0,3.0,-27.320000000002096
2019,5,vettel,bahrain,18.0,3.0,-36.524722222219
2019,5,vettel,bahrain,19.0,3.0,-90.02944444444239
2019,5,vettel,bahrain,20.0,3.0,-18.508055555562663
2019,5,vettel,bahrain,21.0,3.0,-39.38972222222647
2019,5,vettel,bahrain,22.0,3.0,-8.467500000003497
2019,5,vettel,bahrain,23.0,2.0,538.8247222222251
2019,5,vettel,bahrain,24.0,2.0,35.809444444442875
2019,5,vettel,bahrain,25.0,2.0,21.070555555562578
2019,5,vettel,bahrain,26.0,2.0,11.602500000000532
2019,5,vettel,bahrain,27.0,2.0,29.906666666670617
2019,5,vettel,bahrain,28.0,2.0,18.1319444444523
2019,5,vettel,bahrain,29.0,2.0,33.387222222214405
2019,5,vettel,bahrain,30.0,2.0,26.639999999999418
2019,5,vettel,bahrain,31.0,2.0,26.251944444443893
2019,5,vettel,bahrain,32.0,2.0,31.560833333330493
2019,5,vettel,bahrain,33.0,2.0,38.81444444445037
2019,5,vettel,bahrain,34.0,2.0,21.436111111115565
2019,5,vettel,bahrain,35.0,2.0,98.14777777778158
2019,5,vettel,bahrain,36.0,3.0,-499.44916666666586
2019,5,vettel,bahrain,37.0,2.0,185.84777777777919
2019,5,vettel,bahrain,38.0,4.0,-414.796388888892
2019,5,vettel,bahrain,39.0,9.0,-198.07750000000064
2019,5,vettel,bahrain,40.0,8.0,-61.910833333333045
2019,5,vettel,bahrain,41.0,6.0,42.95222222222644
2019,5,vettel,bahrain,42.0,6.0,-43.21666666666353
2019,5,vettel,bahrain,43.0,5.0,1487.1400000000076
2019,5,vettel,bahrain,44.0,5.0,26.224166666665496
2019,5,vettel,bahrain,45.0,5.0,12.166666666666742
2019,5,vettel,bahrain,46.0,5.0,20.02555555555182
2019,5,vettel,bahrain,47.0,5.0,38.03333333333467
2019,5,vettel,bahrain,48.0,5.0,6.598055555557721
2019,5,vettel,bahrain,49.0,5.0,-4.202222222223099
2019,5,vettel,bahrain,50.0,5.0,16.565277777783876
2019,5,vettel,bahrain,51.0,5.0,37.20194444444587
2019,5,vettel,bahrain,52.0,5.0,5.080277777769879
2019,5,vettel,bahrain,53.0,5.0,0.1966666666612582
2019,5,vettel,bahrain,54.0,5.0,-6.714722222225873
2019,5,vettel,bahrain,55.0,5.0,120.14166666667074
2019,5,vettel,bahrain,56.0,5.0,63.180277777782976
2019,5,vettel,bahrain,57.0,5.0,-218.05861111111335
2019,4,norris,bahrain,1.0,14.0,15.260833333332691
2019,4,norris,bahrain,2.0,13.0,28.474722222220876
2019,4,norris,bahrain,3.0,13.0,-5.3380555555514775
2019,4,norris,bahrain,4.0,12.0,-12.848333333335809
2019,4,norris,bahrain,5.0,12.0,-13.755277777776563
2019,4,norris,bahrain,6.0,12.0,-7.48555555555626
2019,4,norris,bahrain,7.0,11.0,23.924999999999336
2019,4,norris,bahrain,8.0,10.0,-53.590555555547674
2019,4,norris,bahrain,9.0,9.0,36.038055555553726
2019,4,norris,bahrain,10.0,9.0,-2.2350000000023655
2019,4,norris,bahrain,11.0,14.0,90.83749999999748
2019,4,norris,bahrain,12.0,11.0,30.580277777780566
2019,4,norris,bahrain,13.0,11.0,-85.78916666665941
2019,4,norris,bahrain,14.0,10.0,36.62472222222631
2019,4,norris,bahrain,15.0,10.0,7.5333333333339425
2019,4,norris,bahrain,16.0,9.0,64.87638888888674
2019,4,norris,bahrain,17.0,9.0,-10.588333333325522
2019,4,norris,bahrain,18.0,9.0,28.89638888888672
2019,4,norris,bahrain,19.0,9.0,22.504722222226036
2019,4,norris,bahrain,20.0,9.0,-34.568888888891365
2019,4,norris,bahrain,21.0,9.0,-47.9658333333322
2019,4,norris,bahrain,22.0,9.0,-0.3211111111137086
2019,4,norris,bahrain,23.0,9.0,-35.60666666666617
2019,4,norris,bahrain,24.0,8.0,-101.54222222221678
2019,4,norris,bahrain,25.0,8.0,3.7024999999950694
2019,4,norris,bahrain,26.0,7.0,247.40416666666684
2019,4,norris,bahrain,27.0,7.0,4.969722222214443
2019,4,norris,bahrain,28.0,7.0,-1.8297222222266782
2019,4,norris,bahrain,29.0,7.0,-22.55138888888257
2019,4,norris,bahrain,30.0,7.0,-14.138611111110151
2019,4,norris,bahrain,31.0,7.0,-32.844444444439546
2019,4,norris,bahrain,32.0,7.0,-249.15249999999895
2019,4,norris,bahrain,33.0,5.0,1641.7261111111213
2019,4,norris,bahrain,34.0,6.0,-1594.083055555551
2019,4,norris,bahrain,35.0,9.0,114.93888888888335
2019,4,norris,bahrain,36.0,9.0,-107.36861111110795
2019,4,norris,bahrain,37.0,9.0,-42.509166666669444
2019,4,norris,bahrain,38.0,9.0,14.22555555555715
2019,4,norris,bahrain,39.0,8.0,-147.91444444444522
2019,4,norris,bahrain,40.0,7.0,21.132500000001144
2019,4,norris,bahrain,41.0,8.0,-5.432222222218513
2019,4,norris,bahrain,42.0,8.0,-9.4772222222269
2019,4,norris,bahrain,43.0,8.0,-40.494722222220545
2019,4,norris,bahrain,44.0,7.0,172.71694444444452
2019,4,norris,bahrain,45.0,7.0,2.10555555555743
2019,4,norris,bahrain,46.0,7.0,32.3336111111212
2019,4,norris,bahrain,47.0,7.0,-15.210833333334108
2019,4,norris,bahrain,48.0,7.0,11.733333333329199
2019,4,norris,bahrain,49.0,7.0,-16.876388888885742
2019,4,norris,bahrain,50.0,7.0,24.420000000000414
2019,4,norris,bahrain,51.0,7.0,45.53388888888617
2019,4,norris,bahrain,52.0,7.0,-41.711944444443475
2019,4,norris,bahrain,53.0,7.0,-5.933333333334758
