year,driver_num,driver_id,circuit,lap,position,gap_ahead,net_gain
2018,31,ocon,monza,24.0,6.0,164.8572222222274,-630.9849999999947
2018,31,ocon,monza,25.0,6.0,221.60111111111564,74.7377777777823
2018,31,ocon,monza,26.0,6.0,257.6113888888931,56.94694444444866
2018,31,ocon,monza,27.0,5.0,324.6752777777774,96.44666666666623
2018,31,ocon,monza,28.0,5.0,406.80888888889604,93.15805555556278
2018,31,ocon,monza,29.0,6.0,36.67555555555555,-358.0288888888889
2018,31,ocon,monza,30.0,5.0,298.3572222222092,92.82833333332033
2018,31,ocon,monza,31.0,5.0,400.1841666666587,107.09472222221433
2018,31,ocon,monza,32.0,5.0,491.9619444444452,96.33166666666739
2018,31,ocon,monza,33.0,5.0,602.2402777777734,112.65083333332882
2018,31,ocon,monza,34.0,5.0,696.8705555555598,89.94916666667086
2018,31,ocon,monza,35.0,5.0,787.0038888888866,91.58055555555325
2018,31,ocon,monza,36.0,5.0,641.5333333333283,-141.53500000000508
2018,31,ocon,monza,37.0,5.0,755.9799999999905,107.52944444443472
2018,31,ocon,monza,38.0,7.0,28.672499999996944,-701.2466666666699
2018,31,ocon,monza,39.0,9.0,69.2724999999964,4.764722222218623
2018,31,ocon,monza,40.0,7.0,297.47833333333256,239.79972222222145
2018,31,ocon,monza,41.0,7.0,259.20999999999185,-25.5519444444526
2018,31,ocon,monza,42.0,7.0,210.11083333333318,-29.703055555555693
2018,31,ocon,monza,43.0,7.0,188.64222222221542,-8.24027777778457
2018,31,ocon,monza,44.0,7.0,152.65750000000298,-17.234444444441465
2018,31,ocon,monza,45.0,7.0,137.79166666666606,6.723055555554936
2018,31,ocon,monza,46.0,7.0,132.91888888888843,23.648888888888408
2018,31,ocon,monza,47.0,7.0,127.75222222222237,19.301111111111254
2018,31,ocon,monza,48.0,7.0,132.0677777777746,30.68749999999683
2018,31,ocon,monza,49.0,7.0,106.46638888889356,0.07166666667134791
2018,31,ocon,monza,50.0,7.0,90.05666666666548,6.600833333332162
2018,31,ocon,monza,51.0,7.0,99.23805555555464,32.42527777777687
2018,31,ocon,monza,52.0,7.0,119.98805555555646,44.71777777777868
2018,31,ocon,monza,53.0,7.0,148.921666666668,56.07583333333466
2018,11,perez,monza,1.0,14.0,11.735000000002401,11.735000000002401
2018,11,perez,monza,2.0,13.0,74.41111111109785,15.37111111109786
2018,11,perez,monza,3.0,13.0,86.9272222222171,16.578055555550435
2018,11,perez,monza,4.0,12.0,52.49416666666275,-15.850555555559467
2018,11,perez,monza,5.0,12.0,20.47055555555744,-34.34305555555367
2018,11,perez,monza,6.0,11.0,50.433055555557075,45.41444444444596
2018,11,perez,monza,7.0,11.0,31.32583333333605,-8.788055555552845
2018,11,perez,monza,8.0,10.0,253.01333333333605,228.95472222222494
2018,11,perez,monza,9.0,10.0,161.79694444444158,-91.71138888889175
2018,11,perez,monza,10.0,10.0,109.64527777777948,-51.88083333333162
2018,11,perez,monza,11.0,10.0,40.59805555555795,-64.68944444444206
2018,11,perez,monza,12.0,10.0,52.49027777777792,16.804166666666816
2018,11,perez,monza,13.0,9.0,98.9338888888833,47.322499999994406
2018,11,perez,monza,14.0,9.0,75.74333333333561,-16.251111111108855
2018,11,perez,monza,15.0,8.0,246.4019444444475,177.51638888889192
2018,11,perez,monza,16.0,8.0,251.24777777777763,9.895277777777608
2018,11,perez,monza,17.0,8.0,231.91888888888934,-19.82861111111066
2018,11,perez,monza,18.0,9.0,123.84111111110451,-98.68027777778437
2018,11,perez,monza,19.0,9.0,170.55444444443947,52.714444444439465
2018,11,perez,monza,20.0,9.0,109.60527777777588,-49.67944444444635
2018,11,perez,monza,21.0,9.0,101.88305555555507,-5.945833333333823
2018,11,perez,monza,22.0,9.0,68.313611111108,-29.48527777778085
2018,11,perez,monza,23.0,9.0,54.17416666666668,-8.993055555555557
2018,11,perez,monza,24.0,7.0,503.9411111111049,470.1291666666604
2018,11,perez,monza,25.0,7.0,501.0766666666668,-7.530555555555509
2018,11,perez,monza,26.0,7.0,406.61555555555515,-99.92055555555612
2018,11,perez,monza,27.0,7.0,382.16166666666595,-2.325833333334117
2018,11,perez,monza,28.0,7.0,487.9166666666615,128.3016666666615
2018,11,perez,monza,29.0,7.0,414.76111111111186,-76.17333333333261
2018,11,perez,monza,30.0,6.0,372.4966666666742,-49.80694444443702
2018,11,perez,monza,31.0,6.0,369.8422222222289,-17.468888888882248
2018,11,perez,monza,32.0,6.0,363.3975000000046,-12.017499999995437
